benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
MinPooling_4,ok,2.0,33.47,4.0,6.0,16.0,6.0,0.0,63.0,,
MinPooling_5,ok,2.0,93.79,3.0,3.0,22.0,6.0,3.0,76.0,,
MinPooling_6,timeout,,,,,,,,,,
MinPooling_7,timeout,,,,,,,,,,
MyAvg_1,ok,3.0,6.72,2.0,4.0,46.0,5.0,1.0,23.0,,
MyAvg_2,ok,3.0,6.87,2.0,4.0,53.0,5.0,1.0,14.0,,
MyAvg_3,ok,3.0,33.31,2.0,1.0,60.0,4.0,3.0,19.0,,
MyAvg_4,ok,3.0,39.02,2.0,5.0,69.0,6.0,1.0,36.0,,
MyAvg_5,ok,3.0,2.85,1.0,4.0,53.0,5.0,1.0,16.0,,
PointAttributionScalaUdaf_1,ok,2.0,7.86,3.0,2.0,12.0,2.0,0.0,27.0,,
PointAttributionScalaUdaf_2,ok,2.0,94.61,3.0,3.0,22.0,3.0,0.0,69.0,,
PointAttributionScalaUdaf_3,ok,2.0,23.52,3.0,2.0,22.0,2.0,0.0,26.0,,
PointAttributionScalaUdaf_4,ok,2.0,204.4,4.0,3.0,22.0,4.0,1.0,100.0,,
PreprocCSVTable_1,ok,2.0,1.7,2.0,3.0,22.0,3.0,0.0,7.0,,
PreprocCSVTable_2,ok,3.0,0.73,2.0,2.0,20.0,3.0,1.0,4.0,,
PreprocCSVTable_3,ok,1.0,0.58,2.0,0.0,24.0,2.0,2.0,3.0,,
PreprocCSVTable_4,ok,2.0,1.04,2.0,2.0,17.0,2.0,0.0,4.0,,
ReturnPriceAggregator_1,ok,3.0,35.32,2.0,4.0,25.0,6.0,2.0,41.0,,
ReturnPriceAggregator_2,ok,3.0,176.06,2.0,4.0,24.0,6.0,2.0,62.0,,
ReturnPriceAggregator_3,ok,3.0,174.26,2.0,5.0,23.0,6.0,1.0,64.0,,
ReturnPriceAggregator_4,ok,3.0,280.42,2.0,5.0,33.0,6.0,1.0,75.0,,
ReturnPriceAggregator_5,ok,2.0,16.08,3.0,5.0,33.0,5.0,0.0,19.0,,
ReturnPriceAggregator_6,ok,3.0,176.42,2.0,5.0,23.0,6.0,1.0,80.0,,
ReturnPriceAggregator_7,timeout,,,,,,,,,,
ReturnPriceAggregator_8,timeout,,,,,,,,,,
ReturnPriceAggregator_9,timeout,,,,,,,,,,
RoaringBitmapUDAF_1,ok,3.0,0.97,1.0,3.0,22.0,3.0,3.0,9.0,,
RoaringBitmapUDAF_2,ok,3.0,0.76,1.0,1.0,30.0,3.0,3.0,3.0,,
RoaringBitmapUDAF_3,ok,3.0,1.17,1.0,3.0,30.0,4.0,4.0,9.0,,
RoaringBitmapUDAF_4,ok,3.0,0.84,1.0,2.0,28.0,3.0,3.0,5.0,,
RoaringBitmapUDAF_5,ok,3.0,0.61,1.0,1.0,26.0,3.0,2.0,4.0,,
SnapshotAggregator_1,ok,3.0,140.34,3.0,4.0,22.0,6.0,3.0,78.0,,
SnapshotAggregator_2,timeout,,,,,,,,,,
SnapshotAggregator_3,ok,3.0,5.92,3.0,3.0,27.0,4.0,2.0,12.0,,
SnapshotAggregator_4,ok,3.0,6.23,3.0,3.0,29.0,5.0,3.0,14.0,,
SnapshotAggregator_5,ok,3.0,8.54,3.0,3.0,53.0,4.0,2.0,11.0,,
SnapshotAggregator_6,ok,3.0,70.0,3.0,4.0,67.0,5.0,2.0,29.0,,
