benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
TPCHUDAF_2,ok,3.0,3.08,1.0,3.0,28.0,3.0,1.0,5.0,,
TPCHUDAF_3,ok,1.0,0.16,1.0,0.0,10.0,1.0,1.0,1.0,,
Top2_1,ok,3.0,1.59,1.0,1.0,25.0,4.0,3.0,2.0,,
Top2_2,ok,3.0,3.56,1.0,3.0,25.0,4.0,1.0,7.0,,
Top2_3,ok,3.0,239.72,2.0,3.0,31.0,5.0,2.0,198.0,,
Top2_4,ok,3.0,6.5,3.0,2.0,55.0,4.0,2.0,5.0,,
Top2_5,ok,3.0,37.43,2.0,3.0,46.0,4.0,1.0,39.0,,
Top2_6,ok,3.0,42.82,3.0,3.0,53.0,5.0,2.0,38.0,,
Top2_7,ok,3.0,83.79,3.0,3.0,53.0,5.0,2.0,70.0,,
Top2_8,timeout,,,,,,,,,,
Top2_9,timeout,,,,,,,,,,
UDAF2_1,timeout,,,,,,,,,,
UDAF2_2,ok,3.0,396.85,5.0,3.0,18.0,3.0,1.0,724.0,,
UDAF2_3,ok,2.0,110.74,4.0,2.0,18.0,2.0,0.0,283.0,,
UDAF2_4,timeout,,,,,,,,,,
UDAF2_5,ok,3.0,33.88,5.0,2.0,18.0,2.0,1.0,132.0,,
UDAF2_6,timeout,,,,,,,,,,
UDAF_1,ok,2.0,11.77,4.0,2.0,12.0,2.0,0.0,69.0,,
UDAF_2,ok,3.0,25.76,3.0,2.0,18.0,2.0,1.0,83.0,,
UDAF_3,ok,3.0,36.83,3.0,2.0,23.0,3.0,2.0,115.0,,
UDAF_4,ok,2.0,144.11,3.0,1.0,23.0,2.0,1.0,266.0,,
UserDefinedAggregationFunctionTest_1,ok,2.0,40.87,1.0,4.0,11.0,4.0,0.0,76.0,,
UserDefinedAggregationFunctionTest_2,ok,2.0,25.95,1.0,4.0,7.0,4.0,0.0,75.0,,
UserDefinedAggregationFunctionTest_3,ok,2.0,40.47,1.0,4.0,11.0,4.0,0.0,74.0,,
UserDefinedAggregationFunctionTest_4,ok,2.0,56.8,1.0,4.0,15.0,4.0,0.0,75.0,,
