benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
EventAggregationUdf_2,none,,,,,,,,,,
EventAggregationUdf_3,none,,,,,,,,,,
EventAggregationUdf_4,none,,,,,,,,,,
EventAggregationUdf_5,none,,,,,,,,,,
EventAggregationUdf_6,none,,,,,,,,,,
EventAggregationUdf_7,none,,,,,,,,,,
EventAggregationUdf_8,none,,,,,,,,,,
EventAggregationUdf_9,none,,,,,,,,,,
Flaredown1_1,ok,1.0,0.06,1.0,0.0,1.0,1.0,1.0,0.0,,
Flaredown1_2,ok,2.0,0.06,1.0,2.0,1.0,2.0,2.0,0.0,,
Flaredown1_3,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
Flaredown1_4,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
HighLowAggregator_1,ok,4.0,0.25,2.0,1.0,1.0,8.0,8.0,0.0,,
HighLowAggregator_2,ok,2.0,0.19,3.0,1.0,1.0,16.0,16.0,0.0,,
HighLowAggregator_3,ok,2.0,2.46,2.0,1.0,1.0,8.0,8.0,0.0,,
HighLowAggregator_4,ok,2.0,0.8,3.0,1.0,1.0,8.0,8.0,0.0,,
HighLowAggregator_5,none,,,,,,,,,,
HighLowAggregator_6,ok,2.0,4.11,3.0,1.0,1.0,8.0,8.0,0.0,,
HighLowAggregator_7,ok,2.0,0.88,3.0,1.0,1.0,8.0,8.0,0.0,,
HighLowAggregator_8,ok,2.0,0.23,2.0,1.0,1.0,16.0,16.0,0.0,,
Jdata_1,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
Jdata_2,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
Jdata_3,ok,2.0,0.1,1.0,2.0,1.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_1,ok,4.0,0.15,1.0,1.0,1.0,1.0,1.0,0.0,,
KeepRowWithMaxAge_2,ok,2.0,0.16,1.0,1.0,1.0,1.0,1.0,0.0,,
KeepRowWithMaxAge_3,ok,2.0,0.27,2.0,1.0,1.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_4,ok,2.0,0.51,2.0,1.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_5,ok,2.0,0.62,2.0,1.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_6,ok,2.0,0.43,2.0,1.0,1.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_7,ok,2.0,0.56,2.0,1.0,1.0,3.0,3.0,0.0,,
